ID,latitude,longitude,elevation,IGBP,Koppen,name,Data Use Policy ,MAT (°C),MAP (mm),start,end,FLUXNET,BASE_CCBY40,BASE_Legacy
AR-Bal,-37.7596,-58.3024,130.0,CRO,Cfb,Balcarce BA,CC-BY-4.0,14.0,926.0,2012.0,2013.0,Y,Y,Y
AR-CCa,-35.621,-61.3181,83.0,CRO,Cfa,Carlos Casares agriculture,CC-BY-4.0,16.1,1060.0,2012.0,2020.0,Y,Y,Y
AR-CCg,-35.9244,-61.1855,84.0,GRA,Cfa,Carlos Casares grassland,CC-BY-4.0,16.1,1060.0,2018.0,2024.0,Y,Y,Y
AR-Cel,-37.7028,-57.4192,1.0,WET,Cfb,CELPA Mar Chiquita BA,Legacy,14.0,926.0,2018.0,2018.0,,,Y
AR-Rom,-37.5508,-57.2972,1.0,WET,Cfb,Romano Mar Chiquita BA,Legacy,14.0,926.0,2014.0,2015.0,,,Y
AR-TF1,-54.9733,-66.7335,40.0,WET,,Rio Moat bog,CC-BY-4.0,,,2016.0,2018.0,Y,Y,Y
AR-TF2,-54.8269,-68.4549,60.0,WET,,Rio Pipo bog,CC-BY-4.0,5.5,530.0,2016.0,2018.0,Y,Y,Y
BR-BNT,-2.6334,-60.1505,116.0,EBF,,BIONTE,Legacy,27.4,2300.0,,,,,
BR-Cax,-1.7185,-51.4583,48.4,EBF,Af,"CAX, FLONA Caxiuanã micromet tower",CC-BY-4.0,26.0,2500.0,,,,,
BR-CMT,-13.2875,-56.0882,427.0,CRO,Aw,Capuaba farm Mato Grosso,Legacy,26.8,1566.0,,,,,
BR-CST,-7.9682,-38.3842,468.0,DNF,Bsh,Caatinga Serra Talhada,CC-BY-4.0,25.2,642.0,2014.0,2015.0,Y,Y,Y
BR-Cui,-0.6661,-47.2833,21.0,WET,Am,Micrometeorological studies project in Amazonian mangroves,Legacy,26.4,457.2,,,,,
BR-CUP,-3.7874,-55.3664,15.0,DBF,Af,Cupari Tapajos National Forest,CC-BY-4.0,25.0,1900.0,,,,,
BR-IAB,-22.171,-47.871,763.0,WSA,Cwa,Instituto Arruda Botelho - Wooded Cerrado and Mixed Agriculture,Legacy,21.6,1486.0,,,,,
BR-ITA,-23.0604,-48.6467,820.0,EBF,Cfa,MataFLUX: Multi-species tree restoration planting,CC-BY-4.0,19.6,1447.0,2020.0,2024.0,,Y,Y
BR-Ji1,-10.7618,-62.3572,260.0,GRA,Af,Fazenda Nossa Senhora (FNS),CC-BY-4.0,,,,,,,
BR-Ji3,-10.1866,-61.8725,160.0,EBF,Am,Ji-Paraná/RO - Reserva Biológica do Jaru (RBJ),CC-BY-4.0,21.0,,2004.0,2010.0,,Y,Y
BR-Ma2,-2.6091,-60.2093,130.0,EBF,Af,Manaus - ZF2 K34,CC-BY-4.0,26.68,2252.0,1999.0,2016.0,,Y,Y
BR-Ma3,-2.3907,-59.8835,147.0,CVM,Af,"ZF3, Colosso farm",CC-BY-4.0,29.0,2792.0,2008.0,2018.0,,Y,Y
BR-Moj,-1.9787,-48.6147,26.0,CVM,Af,"Moju/PA, Commercial oil palm plantation",CC-BY-4.0,25.5,2500.0,,,,,
BR-Npw,-16.498,-56.412,120.0,WSA,Aw,Northern Pantanal Wetland,CC-BY-4.0,24.9,1486.0,2013.0,2017.0,Y,Y,Y
BR-PRS,-29.744,-53.1503,,CRO,Cfa,Paraíso do Sul,Legacy,21.0,1500.0,,,,,
BR-Sa1,-2.8567,-54.9589,88.0,EBF,Am,Santarem-Km67-Primary Forest,CC-BY-4.0,26.13,2074.79,2001.0,2021.0,,Y,Y
BR-Sa3,-3.018,-54.9714,100.0,EBF,Am,Santarem-Km83-Logged Forest,CC-BY-4.0,26.12,2043.77,2000.0,2004.0,,Y,Y
BR-SGC,0.2101,-66.7529,100.0,EBF,Af,"São Gabriel da Cachoeira (Balaio Indigenous Reserve, Pico da Neblina National Park)",CC-BY-4.0,27.0,3000.0,,,,,
BR-SM1,-30.2771,-53.1479,40.5,CRO,Cfa,Cachoeira do Sul Rice Paddy,CC-BY-4.0,17.6,1700.0,2015.0,2016.0,,Y,Y
BR-SM2,-31.7259,-53.5339,395.0,GRA,Cfa,Pedras Altas Grassland,Legacy,17.9,1600.0,,,,,
BR-SM3,-29.7243,-53.76,88.0,CRO,Cfa,Santa Maria Grassland,Legacy,19.4,1778.0,,,,,
BR-SP1,-19.565,-57.018,90.0,WSA,Aw,Southern Pantanal Wetland,Legacy,25.0,850.0,,,,,
BR-Xpw,-16.373,-56.461,124.0,GRA,Aw,XomanoFlux,CC-BY-4.0,24.9,1490.0,2017.0,2022.0,,Y,Y
CA-AF1,46.0092,-66.3627,78.0,MF,Dfb,Acadia Research Forest,CC-BY-4.0,5.6,1078.0,2023.0,2025.0,,Y,Y
CA-ARB,52.695,-83.9452,90.0,WET,Dfb,Attawapiskat River Bog,CC-BY-4.0,-1.3,700.0,2011.0,2024.0,Y,Y,Y
CA-ARF,52.7008,-83.955,88.0,WET,Dfb,Attawapiskat River Fen,CC-BY-4.0,-1.3,700.0,2011.0,2024.0,Y,Y,Y
CA-BCW,42.6206,-80.5516,201.0,WET,Dfb,Big Creek Watershed,CC-BY-4.0,7.8,1009.8,,,,,
CA-BOU,50.5244,-63.2064,108.0,WET,Cwc,Bouleau Peatland,CC-BY-4.0,1.5,1011.0,2018.0,2020.0,Y,Y,Y
CA-BSM,50.9021,-63.4052,271.0,ENF,Dfc,Black Spruce Moss Forest,CC-BY-4.0,1.9,1090.0,,,,,
CA-Ca1,49.8673,-125.3336,300.0,ENF,Cfb,British Columbia - 1949 Douglas-fir stand,CC-BY-4.0,9.93,1369.0,1997.0,2010.0,Y,Y,Y
CA-Ca2,49.8705,-125.2909,300.0,ENF,Cfb,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),CC-BY-4.0,9.86,1474.0,2000.0,2010.0,Y,Y,Y
CA-Ca3,49.5346,-124.9004,,ENF,Cfb,British Columbia - Pole sapling Douglas-fir stand,CC-BY-4.0,9.94,1676.0,2001.0,2024.0,,Y,Y
CA-Cbo,44.3184,-79.9341,210.0,DBF,Dfb,"Ontario - Mixed Deciduous, Borden Forest Site",CC-BY-4.0,6.66,876.34,1994.0,2024.0,Y,Y,Y
CA-CF1,58.6658,-93.83,16.5,WET,Dfc,Churchill Fen Site 1,CC-BY-4.0,-6.5,452.0,2007.0,2008.0,Y,Y,Y
CA-CF2,58.6658,-93.83,16.5,WET,Dfc,Churchill Fen Site 2,CC-BY-4.0,-6.5,452.0,2008.0,2011.0,,Y,Y
CA-CF3,58.6658,-93.8304,25.0,WET,Dfc,Churchill Fen Site 3,CC-BY-4.0,,,2022.0,2024.0,,Y,Y
CA-Cha,45.8847,-67.3569,341.0,MF,Dfb,New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3),CC-BY-4.0,3.46,971.68,2004.0,2005.0,,Y,Y
CA-CQ1,46.1645,-72.685,6.0,CRO,Dfb,Québec. Carbonique1 - Lac Saint-Pierre Disturbed Marsh,CC-BY-4.0,5.9,872.8,,,,,
CA-CRB,49.9061,-99.348,382.0,CRO,Dfb,Carberry,CC-BY-4.0,2.1,489.4,,,,,
CA-DB2,49.119,-122.9951,4.0,WET,,Delta Burns Bog 2,CC-BY-4.0,,,2019.0,2024.0,Y,Y,Y
CA-DBB,49.1293,-122.9849,4.0,WET,Csb,Delta Burns Bog,CC-BY-4.0,10.0,1128.0,2015.0,2024.0,Y,Y,Y
CA-DL1,64.8689,-111.5748,425.0,OSH,Dfc,Daring Lake - Mixed Tundra,CC-BY-4.0,-9.0,250.0,,,,,
CA-DL2,64.8648,-111.5677,416.0,WET,Dfc,Daring Lake - Fen,CC-BY-4.0,-9.0,250.0,,,,,
CA-DSM,49.0887,-122.8954,,WET,Csb,Delta Salt Marsh,CC-BY-4.0,10.6,1077.8,2021.0,2024.0,Y,Y,Y
CA-EM1,50.3623,-100.2024,607.9,WET,Dfb,Newdale Manitoba,CC-BY-4.0,1.3,504.8,2021.0,2023.0,Y,Y,Y
CA-EM2,50.3706,-100.5339,554.3,WET,Dfb,Shoal Lake Manitoba,CC-BY-4.0,1.5,473.4,2021.0,2023.0,Y,Y,Y
CA-EM3,50.1738,-97.1231,255.0,WET,Dfb,Oak Hammock Marsh Manitoba,CC-BY-4.0,3.0,521.1,,,,,
CA-ER1,43.6405,-80.4123,370.0,CRO,Dfb,Elora Research Station,CC-BY-4.0,6.7,946.0,2015.0,2021.0,Y,Y,Y
CA-ER2,43.6419,-80.414,370.0,CRO,Dfb,Elora Research Station,CC-BY-4.0,6.7,946.0,,,,,
CA-GL3,42.5487,-80.0165,172.0,WAT,Dfb,Long Point,CC-BY-4.0,8.4,965.0,,,,,
CA-Gro,48.2167,-82.1556,340.0,MF,Dfb,"Ontario - Groundhog River, Boreal Mixedwood Forest",CC-BY-4.0,1.3,831.0,2003.0,2014.0,Y,Y,Y
CA-HPC,68.3203,-133.5188,80.0,ENF,Dfc,Havikpak Creek,CC-BY-4.0,-8.2,240.6,2018.0,2018.0,Y,Y,Y
CA-IQT,63.7507,-68.4285,197.0,GRA,ET,Iqaluit Tundra,CC-BY-4.0,-8.6,592.0,,,,,
CA-KLP,51.5902,-81.7684,71.0,WET,Dfb,Kinoje Lake Peatland,CC-BY-4.0,-1.1,680.0,2011.0,2020.0,,Y,Y
CA-KT1,50.022,-100.5713,476.0,CRO,Dfb,Kenton - Field 1,CC-BY-4.0,2.1,489.4,,,,,
CA-KT2,50.0241,-100.5721,478.0,CRO,Dfb,Kenton - Field 2,CC-BY-4.0,2.1,489.4,,,,,
CA-Let,49.7093,-112.9402,960.0,GRA,Dfb,Alberta - Mixed Grass Prairie,Legacy,5.36,398.4,1998.0,2008.0,,,Y
CA-LP1,55.1119,-122.8414,751.0,ENF,Csa,British Columbia - Mountain pine beetle-attacked lodgepole pine stand,CC-BY-4.0,2.0,570.0,2007.0,2024.0,Y,Y,Y
CA-LU1,59.5951,-117.2862,311.0,OSH,Dfc,Steen River,CC-BY-4.0,-1.2,379.0,2020.0,2023.0,,Y,Y
CA-LU2,59.4405,-117.2422,324.0,OSH,Dfc,Lutose,CC-BY-4.0,-1.2,379.0,2020.0,2023.0,,Y,Y
CA-LuM,43.9201,-80.4052,485.0,WET,Dfb,Luther Marsh Wildlife Management Area,Legacy,6.6,905.0,,,,,
CA-MA1,50.1645,-97.8762,261.0,CRO,Dfb,Manitoba Agricultural Site 1,CC-BY-4.0,2.6,514.0,2009.0,2011.0,Y,Y,Y
CA-MA2,50.171,-97.8762,261.0,CRO,Dfb,Manitoba Agricultural Site 2,CC-BY-4.0,2.6,514.0,2009.0,2011.0,Y,Y,Y
CA-MA3,50.1774,-97.8686,261.0,GRA,Dfb,Manitoba Agricultural Site 3,CC-BY-4.0,2.6,514.0,2009.0,2011.0,Y,Y,Y
CA-Man,55.8796,-98.4808,259.0,ENF,Dfc,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),CC-BY-4.0,-3.2,520.0,1994.0,2008.0,Y,Y,Y
CA-Mer,45.4094,-75.5186,70.0,WET,Dfb,"Ontario - Eastern Peatland, Mer Bleue",CC-BY-4.0,6.0,943.0,1998.0,2020.0,Y,Y,Y
CA-MR3,50.8671,-111.9045,712.0,GRA,Dwd,Mattheis Ranch - E3 South,Legacy,,325.0,2012.0,2016.0,,,Y
CA-MR5,50.9056,-111.8823,700.0,GRA,Dwd,Mattheis Ranch - E5 North,Legacy,,325.0,2012.0,2016.0,,,Y
CA-Mtk,72.6695,-77.9981,15.0,GRA,ET,Mittimatalik (Pond Inlet) Tundra,CC-BY-4.0,-14.5,173.0,2024.0,2024.0,Y,Y,Y
CA-Na1,46.4722,-67.1,341.0,ENF,Dfb,New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest),CC-BY-4.0,7.09,1102.7,2003.0,2005.0,,Y,Y
CA-NS1,55.8792,-98.4839,260.0,ENF,Dfc,UCI-1850 burn site,CC-BY-4.0,-2.89,500.29,2001.0,2005.0,Y,Y,Y
CA-NS2,55.9058,-98.5247,260.0,ENF,Dfc,UCI-1930 burn site,CC-BY-4.0,-2.88,499.82,2001.0,2005.0,Y,Y,Y
CA-NS3,55.9117,-98.3822,260.0,ENF,Dfc,UCI-1964 burn site,CC-BY-4.0,-2.87,502.22,2001.0,2005.0,Y,Y,Y
CA-NS4,55.9144,-98.3806,260.0,ENF,Dfc,UCI-1964 burn site wet,CC-BY-4.0,-2.87,502.22,2001.0,2005.0,Y,Y,Y
CA-NS5,55.8631,-98.485,260.0,ENF,Dfc,UCI-1981 burn site,CC-BY-4.0,-2.86,500.34,2001.0,2005.0,Y,Y,Y
CA-NS6,55.9167,-98.9644,244.0,OSH,Dfc,UCI-1989 burn site,CC-BY-4.0,-3.08,495.37,2001.0,2005.0,Y,Y,Y
CA-NS7,56.6358,-99.9483,297.0,OSH,Dfc,UCI-1998 burn site,CC-BY-4.0,-3.52,483.27,2001.0,2005.0,Y,Y,Y
CA-NS8,55.8981,-98.2161,274.0,ENF,Dfc,UCI-2003 burn site,Legacy,-2.71,506.69,2001.0,2005.0,,,Y
CA-Oas,53.6289,-106.1978,530.0,DBF,Dfc,"Saskatchewan - Western Boreal, Mature Aspen",CC-BY-4.0,0.34,428.53,1996.0,2010.0,,Y,Y
CA-Obs,53.9872,-105.1178,628.94,ENF,Dfc,"Saskatchewan - Western Boreal, Mature Black Spruce",CC-BY-4.0,0.79,405.6,1997.0,2010.0,,Y,Y
CA-Ojp,53.9163,-104.692,579.0,ENF,Dfc,"Saskatchewan - Western Boreal, Mature Jack Pine",CC-BY-4.0,0.12,430.5,1997.0,2010.0,,Y,Y
CA-PB1,54.9417,-83.4579,29.0,WET,Dfc,Polar Bear 1 - Peat Plateau,CC-BY-4.0,-2.7,490.0,2016.0,2024.0,,Y,Y
CA-PB2,54.9389,-83.4736,26.0,WET,Dfc,Polar Bear 2 - Fen,CC-BY-4.0,-2.7,490.0,2017.0,2024.0,,Y,Y
CA-Qc2,49.7598,-74.5711,,MF,,Quebec - 1975 Harvested Black Spruce (HBS75),CC-BY-4.0,,,2007.0,2010.0,Y,Y,Y
CA-Qcu,49.2671,-74.0365,392.3,ENF,Dfc,"Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover",CC-BY-4.0,0.13,949.78,2001.0,2010.0,,Y,Y
CA-Qfo,49.6925,-74.3421,382.0,ENF,Dfc,"Quebec - Eastern Boreal, Mature Black Spruce",CC-BY-4.0,-0.36,962.32,2003.0,2010.0,Y,Y,Y
CA-RBM,49.1313,-123.1964,,WET,Csb,Richmond Brackish Marsh,CC-BY-4.0,10.4,1152.0,2022.0,2024.0,,Y,Y
CA-RPn,48.2604,-58.6632,150.0,OSH,Dfb,Robinsons_Natural_Bog_NL,Legacy,5.0,1340.4,,,,,
CA-RPp,48.2632,-58.667,162.0,OSH,Dfb,Robinsons_Peatland_Pasture_NL,Legacy,5.0,1340.4,,,,,
CA-RSB,74.7279,-94.8985,119.0,BSV,ET,Resolute Bay Polar Desert,CC-BY-4.0,-15.0,199.0,2024.0,2024.0,,Y,Y
CA-SCB,61.3089,-121.2984,280.0,WET,Dfc,Scotty Creek Bog,CC-BY-4.0,-2.8,388.0,2014.0,2019.0,Y,Y,Y
CA-SCC,61.3079,-121.2992,285.0,ENF,Dfc,Scotty Creek Landscape,CC-BY-4.0,-2.8,387.6,2013.0,2024.0,Y,Y,Y
CA-SF1,54.485,-105.8176,536.0,ENF,Dfc,"Saskatchewan - Western Boreal, forest burned in 1977",CC-BY-4.0,0.4,470.0,2003.0,2006.0,Y,Y,Y
CA-SF2,54.2539,-105.8775,520.0,ENF,Dfc,"Saskatchewan - Western Boreal, forest burned in 1989",CC-BY-4.0,0.4,470.0,2001.0,2006.0,Y,Y,Y
CA-SF3,54.0916,-106.0053,540.0,OSH,Dfc,"Saskatchewan - Western Boreal, forest burned in 1998",CC-BY-4.0,0.4,470.0,2001.0,2006.0,,Y,Y
CA-SJ1,53.908,-104.656,580.0,ENF,Dfc,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",CC-BY-4.0,0.13,430.23,2001.0,2010.0,,Y,Y
CA-SJ2,53.945,-104.649,580.0,ENF,Dfc,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",CC-BY-4.0,0.11,430.03,2003.0,2010.0,,Y,Y
