ID,latitude,longitude,elevation,IGBP,Koppen,start,end,IRGA,sonic_anemometer,instrument_height,canopy_height,plant,continent,country,system,tier
AR-SLu,-33.4648,-66.4598,505,MF,BSh - Arid Steppe hot,2009-01-01 00:00:00,2011-12-31 23:30:00,LI-7500,CSAT-3,9.0,4.5,,South America,Argentina,O,1
AR-Vir,-28.2395,-56.1886,105,ENF,Cfa - Warm temperate fully humid with hot summer,2009-01-01 00:00:00,2012-12-31 23:30:00,LI-7500,CSAT3,18.0,12.0,,South America,Argentina,O,1
AT-Neu,47.11667,11.3175,1095,GRA,Dfc - Snow fully humid cool summer,2002-01-01 00:00:00,2012-12-31 23:30:00,LI-6262,R3IA,3.0,0.76,Evergreen Broadleaf Trees,Europe,Austria,C,1
AU-Ade,-13.0769,131.1178,76,WSA,Aw - Equatorial savannah with dry winter,2007-01-01 00:00:00,2009-12-31 23:30:00,LI-7500,CSAT3,16.5,12.5,Grass,Australia/Oceania,Australia,O,1
AU-ASM,-22.283,133.249,606,ENF,BSh - Arid Steppe hot,2010-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,11.7,6.5,Shrub,Australia/Oceania,Australia,O,1
AU-Cpr,-34.0021,140.5891,63,SAV,BSk - Arid Steppe cold,2010-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,20.0,4.0,Shrub,Australia/Oceania,Australia,O,1
AU-Cum,-33.61518,150.72362,26,EBF,Cfa - Warm temperate fully humid with hot summer,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,29.0,23.0,Evergreen Broadleaf Trees,Australia/Oceania,Australia,O,1
AU-DaP,-14.0633,131.3181,102,GRA,Aw - Equatorial savannah with dry winter,2007-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT3,15.0,0.3,Grass,Australia/Oceania,Australia,O,1
AU-DaS,-14.1593,131.3881,98,SAV,Aw - Equatorial savannah with dry winter,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,23.0,16.4,Grass,Australia/Oceania,Australia,O,1
AU-Dry,-15.2588,132.3706,177,SAV,Aw - Equatorial savannah with dry winter,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,15.0,12.3,Grass,Australia/Oceania,Australia,O,1
AU-Emr,-23.8587,148.4746,176,GRA,BSh - Arid Steppe hot,2011-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT3,6.7,0.4,,Australia/Oceania,Australia,O,1
AU-Fog,-12.5452,131.3072,25,WET,Aw - Equatorial savannah with dry winter,2006-01-01 00:00:00,2008-12-31 23:30:00,LI-7500,CSAT3,14.5,1.5,Grass,Australia/Oceania,Australia,O,1
AU-Gin,-31.3764,115.7138,51,WSA,"Csa - Warm temperate with dry, hot summer",2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,14.8,7.0,Shrub,Australia/Oceania,Australia,O,1
AU-GWW,-30.1913,120.6541,448,SAV,BWh - Arid desert hot,2013-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,35.0,18.0,,Australia/Oceania,Australia,O,1
AU-How,-12.4943,131.1523,41,WSA,Aw - Equatorial savannah with dry winter,2001-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,23.0,15.0,Grass,Australia/Oceania,Australia,O,1
AU-Lox,-34.4704,140.6551,45,DBF,BSh - Arid Steppe hot,2008-01-01 00:00:00,2009-12-31 23:30:00,LI-7500,CSAT3,10.0,5.5,,Australia/Oceania,Australia,O,1
AU-RDF,-14.5636,132.4776,187,WSA,Aw - Equatorial savannah with dry winter,2011-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT3,21.5,16.4,,Australia/Oceania,Australia,O,1
AU-Rig,-36.6499,145.5759,151,GRA,Cfb - Warm temperate fully humid with warm summer,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,2.5,0.4,Cereal crop,Australia/Oceania,Australia,O,1
AU-Rob,-17.1175,145.6301,710,EBF,Am - Equatorial monsoon,2014-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,40.0,28.0,,Australia/Oceania,Australia,O,1
AU-Stp,-17.1507,133.3502,229,GRA,BSh - Arid Steppe hot,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,4.8,0.2,Grass,Australia/Oceania,Australia,O,1
AU-TTE,-22.287,133.64,552,OSH,BWh - Arid desert hot,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,9.81,4.85,Shrub,Australia/Oceania,Australia,O,1
AU-Tum,-35.6566,148.1517,932,EBF,Cfb - Warm temperate fully humid with warm summer,2001-01-01 00:00:00,2014-12-31 23:00:00,LI-7500,HS,70.0,40.0,Evergreen Broadleaf Trees,Australia/Oceania,Australia,O,1
AU-Wac,-37.4259,145.1878,562,EBF,Cfb - Warm temperate fully humid with warm summer,2005-01-01 00:00:00,2008-12-31 23:30:00,LI-7500,CSAT3,115.0,70.0,Evergreen Broadleaf Trees,Australia/Oceania,Australia,O,1
AU-Whr,-36.6732,145.0294,151,EBF,Cfb - Warm temperate fully humid with warm summer,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,36.0,28.0,Shrub,Australia/Oceania,Australia,O,1
AU-Wom,-37.4222,144.0944,714,EBF,Cfb - Warm temperate fully humid with warm summer,2010-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,30.0,25.0,Evergreen Broadleaf Trees,Australia/Oceania,Australia,O,1
AU-Ync,-34.9893,146.2907,125,GRA,BSk - Arid Steppe cold,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,8.0,0.5,Cereal crop,Australia/Oceania,Australia,O,1
BE-Bra,51.30761,4.51984,15,MF,Cfb - Warm temperate fully humid with warm summer,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,SOLENT 1012R2,41.0,21.0,Deciduous Broadleaf Trees,Europe,Belgium,C,1
