ID,latitude,longitude,IGBP,name
BE-Bra,51.30761,4.51984,MF,Brasschaat
BE-Dor,50.311928,4.968011,GRA,Dorinne
BE-Lcr,51.11218,3.85043,DBF,Lochristi
BE-Lon,50.5516198,4.7462339,CRO,Lonzee
BE-Maa,50.9801111,5.6318611,CSH,Maasmechelen
BE-Vie,50.304962,5.998099,MF,Vielsalm
CH-Aws,46.583194,9.790417,GRA,Alp Weissenstein
CH-Cha,47.21022222,8.410444444,GRA,Chamau
CH-Dav,46.81533,9.85591,ENF,Davos
CH-Fru,47.11583333,8.537777778,GRA,Früebüel 
CH-Lae,47.478333,8.364389,MF,Laegern
CH-Oe2,47.286417,7.73375,CRO,Oensingen crop
CZ-BK1,49.50207615,18.53688247,ENF,Bily Kriz forest
CZ-KrP,49.573257,15.078773,CRO,Kresin u Pacova
CZ-Lnz,48.681611,16.946416,MF,Lanzhot
CZ-RAJ,49.4437236,16.6965125,ENF,Rajec
CZ-Stn,49.035975,17.9699,DBF,Stitna
CZ-wet,49.02465,14.77035,WET,Trebon (CZECHWET)
DE-Akm,53.86617,13.68342,WET,Anklam
DE-Geb,51.09973,10.91463,CRO,Gebesee
DE-Gri,50.95004,13.51259,GRA,Grillenburg
DE-Hai,51.079213,10.452168,DBF,Hainich
DE-HoH,52.085306,11.219222,DBF,Hohes Holz
DE-Hzd,50.96381,13.48978,DBF,Hetzdorf
DE-Kli,50.89306,13.52238,CRO,Klingenberg
DE-Obe,50.78666,13.72129,ENF,Oberbärenburg
DE-RuR,50.6219142,6.3041256,GRA,Rollesbroich
DE-RuS,50.86590702,6.447144704,CRO,Selhausen Juelich
DE-RuW,50.50490703,6.33101886,ENF,Wustebach
DE-Tha,50.96256,13.56515,ENF,Tharandt
DK-Gds,56.0737,9.3341,ENF,Gludsted Plantage
DK-Sor,55.4858694,11.6446444,DBF,Soroe
ES-Abr,38.701839,-6.785881,SAV,Albuera
ES-Agu,36.940046,-2.033208,OSH,Aguamarga
ES-Cnd,37.914998,-3.227659,EBF,Conde
ES-LJu,36.926594,-2.752115,OSH,Llano de los Juanes
ES-LM1,39.94269,-5.778683,SAV,Majadas del Tietar North
ES-LM2,39.934592,-5.775881,SAV,Majadas del Tietar South
FI-Hyy,61.84741,24.29477,ENF,Hyytiala
FI-Ken,67.98723,24.24305,ENF,Kenttarova
FI-Let,60.64183,23.95952,ENF,Lettosuo
FI-Qvd,60.295242,22.391607,CRO,Qvidja
FI-Sii,61.83265,24.19285,WET,Siikaneva
FI-Var,67.7549,29.61,ENF,Varrio
FR-Aur,43.549653,1.106096,CRO,Aurade
FR-Bil,44.493672,-0.956082,ENF,Bilos
FR-FBn,43.24079,5.67865,MF,Font-Blanche
FR-Fon,48.476358,2.780096,DBF,Fontainebleau-Barbeau
FR-Gri,48.84422,1.95191,CRO,Grignon
FR-Hes,48.6741,7.06465,DBF,Hesse
FR-Lam,43.49648,1.23785,CRO,Lamasquere
FR-LGt,47.322917,2.284102,WET,La Guette
FR-Tou,43.572855,1.37474,GRA,Toulouse
GF-Guy,5.278771877,-52.92486191,EBF,Guyaflux (French Guiana)
GL-Dsk,69.2535,-53.514,SNO,Disko
IE-Cra,53.3229786,-7.641769886,WET,Clara
IL-Yat,31.34504459,35.05198851,ENF,Yatir
IT-BCi,40.52375,14.95744444,CRO,Borgo Cioffi
IT-BFt,45.197835,10.742019,DBF,Bosco Fontana
IT-Cp2,41.70426559,12.35729313,EBF,Castelporziano2
IT-Lav,45.9562,11.28132,ENF,Lavarone
IT-Lsn,45.740481,12.750297,OSH,Lison
IT-MBo,46.014678,11.045831,GRA,Monte Bondone
IT-Ren,46.58686,11.43369,ENF,Renon
IT-SR2,43.732022,10.29091,ENF,San Rossore 2
IT-Tor,45.84444,7.578055,GRA,Torgnon
RU-Fy2,56.447603,32.901878,ENF,Fyodorovskoye dry spruce stand
RU-Fyo,56.4615278,32.9220833,ENF,Fyodorovskoye
SE-Deg,64.182029,19.556539,WET,Degero
SE-Htm,56.09763,13.41897,ENF,Hyltemossa
SE-Nor,60.08649722,17.47950278,ENF,Norunda
SE-Ros,64.1725,19.738,ENF,Rosinedal-3
SE-Svb,64.25611,19.7745,ENF,Svartberget
