ID,latitude,longitude,elevation,IGBP,Koppen,name,location
JP-Ozm,34.56347,135.533484,22,URB,Cfa : Humid subtropical climate,Oizumi Urban Park,"Sakai, Osaka, Japan"
JP-BBY,43.32296,141.81079,17,WET,Dfb : Warm-summer humid continental climate,Bibai bog,"Bibai, Hokkaido, Japan"
JP-Om1,34.547178,135.502861,27,URB,Cfa : Humid subtropical climate,B11 building in Osaka Metropolitan University,"Sakai, Osaka, Japan"
JP-Om2,34.542453,135.508228,30,GRA,Cfa : Humid subtropical climate,Farm field in Osaka Metropolitan University,"Sakai, Osaka, Japan"
JP-Api,40.001359,140.936586,831,DBF,Dfb : Warm-summer humid continental climate,Appi forest meteorology research site,"Hachimantai, Iwate, Japan"
JP-Fjy,35.45454,138.76225,1043,ENF,Dfb : Warm-summer humid continental climate,Fujiyoshida forest meteorology research site,"Fujiyoshida, Yamanashi, Japan"
KH-Kmp,12.74458,105.478566,95,EBF,Am : Tropical monsoon climate,Kampong Thom Lowland Dry Evergreen Forest,"Kompong Thom Province, Cambodia"
JP-Kwg,35.8725,139.4869,41,DBF,Cfa : Humid subtropical climate,Kawagoe forest meteorology research site,"Kawagoe, Saitama, Japan"
JP-Kzw,36.406667,138.5725,1385,DBF,Dfb : Warm-summer humid continental climate,Karuizawa,"Karuizawa, Nagano, Japan"
MY-LHP,4.201007,114.039079,140,EBF,Af : Tropical rainforest climate,Lambir Hills National Park,"30 km south of Miri City, Sarawak, Malaysia"
JP-MBF,44.384167,142.318611,596,DBF,Dfb : Warm-summer humid continental climate,Moshiri Birch Forest Site,"Moshiri, Hokkaido, Japan"
JP-MMF,44.321944,142.261389,343,MF,Dfb : Warm-summer humid continental climate,Moshiri Mixed Forest Site,"Moshiri, Hokkaido, Japan"
JP-Mra,37.690275,139.194429,43,CRO,Cfa : Humid subtropical climate,Muramatsu agricultural field,"Gosen, Niigata, Japan"
RU-NeB,62.325937,129.487342,221,GRA,Dfd : Extremely cold subarctic climate,Neleger Burnt Forest,"near Yakutsk, Russia"
RU-NeC,62.314844,129.500075,221,OSH,Dfd : Extremely cold subarctic climate,Neleger Cutover,"near Yakutsk, Russia"
RU-NeF,62.315615,129.499964,223,DNF,Dfd : Extremely cold subarctic climate,Neleger larch forest,"near Yakutsk, Russia"
ID-PaB,-2.340796,114.0379,14,OSH,Am : Tropical monsoon climate,Palangkaraya Drained Burnt forest,"Palangkaraya, Central Kalimantan, Indonesia"
CN-HaM,37.607432,101.332,3250,GRA,Bsk : Cold semi-arid climate,Qinghai Flux Research Site,"Haibei, Qinghai, China"
JP-Sac,34.573914,135.482889,17,URB,Cfa : Humid subtropical climate,Sakai City Office,"Sakai, Osaka, Japan"
JP-Sb1,45.104722,141.688194,6,WET,Dfb : Warm-summer humid continental climate,Sarobetsu Mire Moss,"Sarobetsu, Hokkaido, Japan"
JP-Sb2,45.103611,141.680833,4,WET,Dfb : Warm-summer humid continental climate,Sarobetsu Mire Sasa,"Sarobetsu, Hokkaido, Japan"
JP-Srk,40.565485,140.127794,340,DBF,Dfa : Hot-summer humid continental climate,Shirakami Beech Forest Site,"Ajigasawa, Aomori, Japan"
JP-SwL,36.046572,138.108353,758,WAT,Dfc : Subarctic climate,Suwa Lake Site,"Suwa, Nagano, Japan"
JP-Ta2,36.139722,137.370833,800,ENF,Dfb : Warm-summer humid continental climate,Takayama evergreen coniferous forest site,"Takayama, Gifu, Japan"
JP-Tak,36.146167,137.423111,1420,DBF,Dfb : Warm-summer humid continental climate,Takayama deciduous broadleaf forest site,"Takayama, Gifu, Japan"
JP-Tmk,42.736972,141.516944,140,DNF,Dfb : Warm-summer humid continental climate,Tomakomai Flux Research Site,"Tomakomai, Hokkaido, Japan"
RU-Tur,64.208888,100.463555,250,DNF,Dfc : Subarctic climate,Tura,"Evenkia Autonomous District in central Siberia, Russia"
JP-Yms,34.790278,135.840939,220,DBF,Cfa : Humid subtropical climate,Yamashiro forest meteorology research site,"Yamashiro, Souraku, Kyoto, Japan"
JP-Ynf,26.751,128.212667,213,EBF,Cfa : Humid subtropical climate,Yona-Field Tower Site,"Kunigami, Okinawa, Japan"
MN-Hst,47.594131,105.856439,1227,GRA,Bsk : Cold semi-arid climate,Hustai grassland,"Hustai, Mongolia"
MN-Nkh,47.693592,107.489342,1531,GRA,Bsk : Cold semi-arid climate,Nalaikh grassland,"Nalaikh, Mongolia"
JP-Hc3,34.539672,133.911731,-0.25,CRO,Cfa : Humid subtropical climate,Hachihama Experimental Farm: Double Crop,"Tamano, Okayama, Japan"
RU-Ege,60.015516,133.824012,203,DNF,Dfd : Extremely cold subarctic climate,Elgeeii forest station,"Yakutia, Russia"
