ID,latitude,longitude,elevation,IGBP,Koppen,name,location
JP-Ozm,34.56347,135.533484,22,URB,Cfa : Humid subtropical climate,Oizumi Urban Park,"Sakai, Osaka, Japan"
JP-BBY,43.32296,141.81079,17,WET,Dfb : Warm-summer humid continental climate,Bibai bog,"Bibai, Hokkaido, Japan"
JP-Om1,34.547178,135.502861,27,URB,Cfa : Humid subtropical climate,B11 building in Osaka Metropolitan University,"Sakai, Osaka, Japan"
JP-Om2,34.542453,135.508228,30,GRA,Cfa : Humid subtropical climate,Farm field in Osaka Metropolitan University,"Sakai, Osaka, Japan"
JP-Api,40.001359,140.936586,831,DBF,Dfb : Warm-summer humid continental climate,Appi forest meteorology research site,"Hachimantai, Iwate, Japan"
JP-Fjy,35.45454,138.76225,1043,ENF,Dfb : Warm-summer humid continental climate,Fujiyoshida forest meteorology research site,"Fujiyoshida, Yamanashi, Japan"
KH-Kmp,12.74458,105.478566,95,EBF,Am : Tropical monsoon climate,Kampong Thom Lowland Dry Evergreen Forest,"Kompong Thom Province, Cambodia"
JP-Kwg,35.8725,139.4869,41,DBF,Cfa : Humid subtropical climate,Kawagoe forest meteorology research site,"Kawagoe, Saitama, Japan"
JP-Kzw,36.406667,138.5725,1385,DBF,Dfb : Warm-summer humid continental climate,Karuizawa,"Karuizawa, Nagano, Japan"
MY-LHP,4.201007,114.039079,140,EBF,Af : Tropical rainforest climate,Lambir Hills National Park,"30 km south of Miri City, Sarawak, Malaysia"
JP-MBF,44.384167,142.318611,596,DBF,Dfb : Warm-summer humid continental climate,Moshiri Birch Forest Site,"Moshiri, Hokkaido, Japan"
JP-MMF,44.321944,142.261389,343,MF,Dfb : Warm-summer humid continental climate,Moshiri Mixed Forest Site,"Moshiri, Hokkaido, Japan"
JP-Mra,37.690275,139.194429,43,CRO,Cfa : Humid subtropical climate,Muramatsu agricultural field,"Gosen, Niigata, Japan"
RU-NeB,62.325937,129.487342,221,GRA,Dfd : Extremely cold subarctic climate,Neleger Burnt Forest,"near Yakutsk, Russia"
RU-NeC,62.314844,129.500075,221,OSH,Dfd : Extremely cold subarctic climate,Neleger Cutover,"near Yakutsk, Russia"
RU-NeF,62.315615,129.499964,223,DNF,Dfd : Extremely cold subarctic climate,Neleger larch forest,"near Yakutsk, Russia"
ID-PaB,-2.340796,114.0379,14,OSH,Am : Tropical monsoon climate,Palangkaraya Drained Burnt forest,"Palangkaraya, Central Kalimantan, Indonesia"
CN-HaM,37.607432,101.332,3250,GRA,Bsk : Cold semi-arid climate,Qinghai Flux Research Site,"Haibei, Qinghai, China"
JP-Sac,34.573914,135.482889,17,URB,Cfa : Humid subtropical climate,Sakai City Office,"Sakai, Osaka, Japan"
JP-Sb1,45.104722,141.688194,6,WET,Dfb : Warm-summer humid continental climate,Sarobetsu Mire Moss,"Sarobetsu, Hokkaido, Japan"
JP-Sb2,45.103611,141.680833,4,WET,Dfb : Warm-summer humid continental climate,Sarobetsu Mire Sasa,"Sarobetsu, Hokkaido, Japan"
