ID,latitude,longitude,IGBP
AU-Ade,-13.0769,131.1178,WSA
AU-ASM,-22.283,133.249,SAV
AU-Boy,-32.477093,116.938559,WSA
AU-Col,-33.42,116.237,WSA
AU-Cow,-16.238189,145.42715,EBF
AU-Cpr,-34.0027,140.5877,SAV
AU-Ctr,-16.103219,145.446922,EBF
AU-Cum,-33.615278,150.723611,EBF
AU-DaP,-14.0633,131.3181,GRA
AU-DaS,-14.1592,131.3881,SAV
AU-Dry,-15.2588,132.3706,SAV
AU-Emr,-23.85872,148.4746,GRA
AU-Fog,-12.5452,131.3072,WET
AU-Gin,-31.376351,115.71377,WSA
AU-GWW,-30.1914,120.6541667,SAV
AU-How,-12.4952,131.15005,WSA
AU-Lit,-13.17904178,130.7945459,SAV
AU-Lon,-23.52326576,144.3104157,GRA
AU-Lox,-34.47035,140.65512,DBF
AU-Otw,-38.525,142.81,GRA
AU-RDF,-14.563639,132.477567,WSA
AU-Rgf,-32.506102,116.966827,CRO
AU-Rig,-36.656,145.576,GRA
AU-Rob,-17.11746943,145.6301375,EBF
AU-Sam,-27.38806,152.87778,GRA
AU-Stp,-17.1507,133.3502,GRA
AU-TTE,-22.283,133.249,GRA
AU-Tum,-35.6566,148.1516,EBF
AU-Wac,-37.4259,145.1878,EBF
AU-Whr,-36.6732,145.0294,EBF
AU-Wom,-37.422506,144.094046,EBF
AU-Wrr,-43.09502,146.65452,EBF
AU-Ync,-34.9878,146.2908,GRA
